	Bandpower Delta	Bandpower Theta	Bandpower Alpha	Bandpower Beta	Bandpower Gamma	Error Delta	Error Theta	Error Alpha	Error Beta	Error Gamma	std_dev	autocorr	type
22	0.08724241916568941	0.3942452672139387	0.28459540961635116	0.2187552353828112	0.015161668621209585	-3.8391	9.1732	12.9856	5.048	-0.9023	92.51862397117972	1018539.3488229549	abnormal
23	0.2513386337822489	0.3023284114879117	0.2277300016225864	0.20951646925198764	0.009086483855265292	-1.5736	7.164	9.9314	4.663	-1.318	93.51514263052556	967616.1725522449	abnormal
24	0.39100361073650325	0.19724191934571714	0.20502892939487535	0.198459999129943	0.008265541392961238	0.0139	3.1062	8.2585	3.8026	-1.3196	82.59725513006944	875549.9073975657	abnormal
25	0.38033050379225475	0.1967954191571651	0.23843487869807625	0.17690491737405195	0.007534280978451957	-0.27	2.6229	7.7014	2.6626	-1.4398	88.70757465908657	1104480.2613449208	abnormal
26	0.5673531299224083	0.13248935301324308	0.17011842949652878	0.12578029286506037	0.004258794702759465	0.5145	0.262	4.2417	0.8507	-1.6929	84.87769235454276	1236584.571024783	abnormal
27	0.019148129423660263	0.06695525783619818	0.08480788675429728	0.3398319009100101	0.4892568250758342	-4.8117	-0.4346	2.7162	22.2643	78.1739	2579.9774441154204	1533127611.2662516	abnormal
28	0.01765719207579673	0.07453549895410361	0.114494893564661	0.31392272671342436	0.4793896886920143	-4.8451	-0.1535	3.9462	20.4104	83.1407	2581.137637224927	1459239443.6658278	abnormal
29	0.015255748773807247	0.055162749219695516	0.13934008535575515	0.30326772405885727	0.4869736925918848	-4.8741	-0.7939	5.7755	21.7401	78.6138	2796.139771822507	1356127974.8375456	abnormal
30	0.014578434665770908	0.043802485723883094	0.1547195162915687	0.29284514612025525	0.494054417198522	-4.8988	-1.24	6.852	20.5204	76.0371	2804.11765015286	1652699218.370045	abnormal
31	0.023855301573737806	0.023962116356903793	0.16805525884782452	0.23107598091575873	0.553051342305775	-4.6992	-1.9413	7.5424	15.2769	77.5287	2668.2513384247377	1584895632.2325046	abnormal
32	0.1359107214029494	0.35615783180550026	0.25352730171383026	0.23933838182542852	0.015065763252291753	-3.0962	9.0585	11.7794	5.5928	-0.7047	108.33752166503264	1219106.174660823	abnormal
33	0.11001558705187225	0.25787508609127485	0.25791133504911734	0.3559285170551346	0.01826947475260086	-3.3462	7.2543	13.7749	10.85	-0.6459	133.93504815737055	1696905.1132069477	abnormal
34	0.33661562980249304	0.17257669759235017	0.24736752234048606	0.23211338152427569	0.011326768740395014	-1.6688	1.2234	7.2988	3.2892	-1.1341	110.34647088307777	2059985.2738032462	abnormal
35	0.23982704974340327	0.28856022952277044	0.24140299834323356	0.22148139168384048	0.008728330706752335	-1.4441	7.08	10.71	4.8572	-1.2602	93.30150408916114	1176456.7970170272	abnormal
36	0.23944164650830793	0.23381052464607213	0.3099099813617798	0.21136534877265342	0.0054724987111868986	-1.4891	5.6104	14.6506	4.5704	-1.5501	64.42179063753504	413939.1943952516	abnormal
37	0.3067158916497283	0.19189447048575103	0.3098685029244618	0.1873314804828473	0.0041896544572115986	-0.6001	3.8395	13.7781	3.3344	-1.574	73.62987143048375	628486.6510623464	abnormal
38	0.5715113247987025	0.1342176910154666	0.152812373283902	0.13636100330185946	0.005097607600069514	0.7006	0.3794	3.8714	0.8893	-1.6634	78.846854647546	949209.7538509078	abnormal
39	0.5247237414890055	0.16497376939390554	0.14784016073222458	0.15749525616698293	0.00496707221788146	0.7091	0.9801	3.9127	1.4271	-1.6599	67.64168795756062	753927.6947307	abnormal
40	0.5274651742806741	0.21236084920007303	0.0886306952977675	0.16606849565058704	0.005474785570898473	-0.1418	1.4162	1.1062	1.6069	-1.6602	57.340776252122375	576176.6996385214	abnormal
41	0.5568392161868896	0.22333567370907	0.07499840428927043	0.13493329929150444	0.009893406523265463	0.1871	1.6499	0.4417	1.4121	-1.5183	57.735394330879565	644319.6651067934	abnormal
42	0.5494001810774106	0.23466500679040292	0.10406292440018108	0.10083748302399276	0.011034404708012676	0.5358	2.4897	2.0139	0.5522	-1.2955	51.83654761256682	425767.91405721405	abnormal
43	0.5142153146322972	0.3582891079100329	0.08308061662875917	0.03538033864038413	0.009034622188526662	-0.8649	4.099	0.6573	-1.1704	-1.183	44.84149446181927	403324.6922686097	abnormal
44	0.13636721828211193	0.3504334121355398	0.24739952718676125	0.2517730496453901	0.014026792750197007	-2.9794	9.0893	11.5098	6.3836	-1.0147	154.70233565387582	2602576.0555770695	abnormal
45	0.07373075282162664	0.36935189853779615	0.2666873521312492	0.2790210603886281	0.011208936120699684	-4.0399	9.8839	12.8992	7.7335	-1.1991	178.25321926072075	3520653.9322146694	abnormal
46	0.25470799830723656	0.1751481168006771	0.21122513753702918	0.35257088446889545	0.006347862886161659	-2.2765	1.6735	6.5545	5.7015	-1.6407	194.27770239277748	5257464.580870341	abnormal
47	0.15927865466883023	0.19062546098244582	0.2330727245906476	0.41042189113438565	0.00660126862369081	-2.4939	4.4334	13.0802	11.1829	-1.4965	170.8769307825592	3323656.75883513	abnormal
48	0.16956613607550355	0.20597971545288066	0.23608959008311026	0.38227215100718404	0.0060924073813213115	-2.2744	5.123	13.3204	10.8854	-1.4426	143.39346130607842	2083522.4264664177	abnormal
49	0.2003256200637384	0.16707080504364694	0.24812941665511987	0.3760565331855341	0.008417625051960647	-1.8488	3.8648	14.4557	11.21	-1.0603	145.05220818345347	2139956.7479624473	abnormal
50	0.32532063891730273	0.16507986466283736	0.14902824769848141	0.35352899520025177	0.007042253521126761	-0.4528	2.8096	6.308	9.5537	-1.4089	136.97440532806053	2216546.4795810096	abnormal
51	0.4017602064325868	0.20703160998986264	0.1519214818910699	0.23343470647866554	0.005851995207814947	0.0034	3.0048	5.557	4.8107	-1.5182	139.8608146539434	2682193.7247622497	abnormal
52	0.4579799537393986	0.24713441274736572	0.10264713441274737	0.18643022359290673	0.005808275507581598	-0.2949	3.1905	2.1796	2.9386	-1.5772	128.4823915543229	3118879.215686392	abnormal
53	0.3915895628335047	0.31277231115680226	0.1453468448621922	0.14338865227395114	0.0069026288735497135	-0.5403	5.6546	4.0237	1.9653	-1.4318	114.21585815833022	2010852.8656246183	abnormal
54	0.5267019095911102	0.24937965260545902	0.09909375337145322	0.11835149422807206	0.006473190203905491	0.0596	2.9593	1.9543	1.1784	-1.5161	111.57515689716615	1924661.217136395	abnormal
55	0.6293423711138629	0.1946164374633383	0.07834191487974972	0.09274587759890503	0.004953398944143908	-0.1339	0.8932	0.4857	0.0885	-1.6473	96.33463625476509	1895955.1579044976	abnormal
56	0.22937455162068743	0.4530098480401748	0.09854562055696864	0.1768734102915281	0.0421965694906411	-3.0188	7.5142	1.2493	2.5135	0.226	156.28214830899256	4739491.566591896	abnormal
57	0.3525110816615637	0.2943380706484485	0.13334551935292235	0.19937851300095963	0.020426815336105648	-0.6621	5.346	4.0533	2.966	0.0468	573.2984386396041	41341515.695795335	abnormal
58	0.164240170031881	0.5422422954303933	0.16594048884165782	0.11684378320935176	0.01073326248671626	-3.2611	10.5721	4.3943	0.7215	-1.06	309.84519341103936	11749271.990144195	abnormal
59	0.2757479259197184	0.328039889382385	0.1454789239922903	0.23041146400737453	0.020321796698231795	-1.2877	7.4098	5.2635	4.3288	-0.0428	1076.1567642633124	130107507.25229281	abnormal
60	0.04294057025077293	0.37512882171075235	0.274590633230276	0.2826634604374213	0.024676514370777513	-4.6678	4.7879	11.995	5.5704	-0.3632	357.7052920904093	12318210.414191077	abnormal
61	0.09037645632702539	0.18826183581385952	0.3257795137719712	0.3716748602599501	0.023907333827193747	-3.4379	4.6872	18.4579	12.8296	0.3386	544.1056120041565	26376645.371570583	abnormal
